Vocabulario,Nota1,Nota2,Nota3,Nota4,Nota5
"booked",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"suite",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"paid",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"extra",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"website",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"description",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"bedroom",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"bathroom",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"standard",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"printed",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"reservation",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"desk",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"showed",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"said",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"things",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"couch",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"clerk",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"told",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"mixed",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"suites",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"kimpton",0.0000000000,0.0000033292,0.0000003337,0.0000025672,0.0000027434
"sorry",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"free",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"breakfast",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"kidding",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"embassy",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"suits",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"sitting",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"unlike",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"calls",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"offer",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"correct",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"false",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"advertising",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"send",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"preferred",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"guest",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"email",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"asking",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"failure",0.0000015731,0.0000007398,0.0000000000,0.0000001284,0.0000001960
"provide",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"advertised",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"furnished",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"hard",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"copy",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"printout",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"manager",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"duty",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"reply",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"solution",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"trip",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"survey",0.0000000000,0.0000018496,0.0000003337,0.0000003851,0.0000007838
"follow",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"mail",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"guess",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"tell",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"concerned",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"staff",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"ranged",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"indifferent",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"helpful",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"asked",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"spots",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"neighborhood",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"hood",0.0000000000,0.0000016936,0.0000007640,0.0000002938,0.0000000000
"hotels",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"best",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"block",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"away",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"convenient",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"does",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"know",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"exist",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"inside",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"bellman",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"busy",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"chating",0.0000000000,0.0000026680,0.0000000000,0.0000000000,0.0000000000
"cell",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"phone",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"help",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"bags",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"prior",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"arrival",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"emailed",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"inform",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"half",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"really",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"picky",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"wanted",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"make",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"sure",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"saying",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"deliver",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"bottle",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"champagne",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"chocolate",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"covered",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"strawberries",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"celebrate",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"needed",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"foam",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"alley",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"rise",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"building",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"better",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"housekeeping",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"cleaner",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"property",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"impressed",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"left",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"short",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"trips",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"hours",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"beds",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"ac-heat",0.0000000000,0.0000026680,0.0000000000,0.0000000000,0.0000000000
"control",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"inch",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"screen",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"bring",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"green",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"shine",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"directly",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"eyes",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"light",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"sensitive",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"tape",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"controls",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"this",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"business",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"super",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"rates",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"nice",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"rooms",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"monaco",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"level",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"positives",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"large",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"mediterranean",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"pillowsattentive",0.0000000000,0.0000000000,0.0000024072,0.0000000000,0.0000000000
"staffnegatives",0.0000000000,0.0000000000,0.0000024072,0.0000000000,0.0000000000
"unit",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"malfunctioned",0.0000005244,0.0000011097,0.0000003337,0.0000002567,0.0000000000
"disorganized",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"missed",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"separate",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"wakeup",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"concierge",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"guidance",0.0000000000,0.0000007398,0.0000003337,0.0000011552,0.0000005879
"requests",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"ipod",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"sound",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"dock",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"functioning",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"book",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"weekend",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"choice",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"rest",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"party",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"filled",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"comparison",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"spent",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"larger",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"square",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"footage",0.0000000000,0.0000003699,0.0000010012,0.0000005134,0.0000000980
"soaking",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"whirlpool",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"jets",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"shower",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"before",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"arrange",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"service",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"price",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"reasonable",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"driver",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"waiting",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"checkin",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"downside",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"picked",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"person",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"jacuzi",0.0000000000,0.0000000000,0.0000007640,0.0000002938,0.0000015701
"accessories",0.0000005244,0.0000000000,0.0000010012,0.0000006418,0.0000008818
"salts",0.0000000000,0.0000000000,0.0000022921,0.0000011754,0.0000017943
"bubble",0.0000000000,0.0000007398,0.0000033375,0.0000016687,0.0000016656
"checked",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"voucher",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"gesture",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"fish",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"impression",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"huge",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"open",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"space",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"felt",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"chore",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"change",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"channel",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"broken",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"disappointing",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"thermostat",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"degrees",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"warm",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"cover",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"face",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"bright",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"blue",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"kept",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"drop",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"called",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"maintainence",0.0000024007,0.0000008468,0.0000022921,0.0000000000,0.0000000000
"came",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"look",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"play",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"settings",0.0000000000,0.0000007398,0.0000026700,0.0000003851,0.0000006858
"happy",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"digital",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"work",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"10am",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"happen",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"later",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"forgot",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"forgotten",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"facilities",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"surprised",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"sold",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"amenities",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"relax",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"water",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"going",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"unique",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"wonderful",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"time",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"excellent",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"stroll",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"main",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"downtown",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"area",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"friendly",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"signs",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"animal",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"hair",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"smells",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"sleeping",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"striped",0.0000000000,0.0000008468,0.0000000000,0.0000002938,0.0000011215
"curtains",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"pulled",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"closed",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"cosy",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"named",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"brandi",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000014133
"enjoyed",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"partake",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"wine",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"coffee",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"lobby",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"thought",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"feature",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"wireless",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"internet",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"worked",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"laptops",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"decor",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"lovely",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"eclectic",0.0000000000,0.0000007398,0.0000003337,0.0000003851,0.0000009798
"pattens",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000007067
"color",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"palatte",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000007067
"print",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"bathrobes",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"feel",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"rock",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"stars",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"sterile",0.0000005244,0.0000000000,0.0000016687,0.0000008985,0.0000006858
"personality",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"went",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"seahawk",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000014133
